Symbol,Date,Open,High,Low,Close,Volume,ret_1m,ret_3m,ret_6m,ret_12m,momentum_score,signal
SNPS,2024-04-01,578.0700073242188,582.6699829101562,571.719970703125,576.8900146484375,609100,0.0055078770279803,0.1149572768039617,0.2521760442538343,0.5382092616909118,0.31447876101610533,avoid
PRU,2024-04-01,110.81757696009558,110.87424917356452,109.50461783345447,109.84466552734376,829200,0.0669786329479851,0.1291366146480428,0.2570804614581481,0.5118245238704522,0.31437913421003233,avoid
RSG,2024-04-01,188.61651846110408,188.7846681404827,187.21196076317284,187.765869140625,1473400,0.0368299122495485,0.1623384707458792,0.3221907101708474,0.4517781457402898,0.3135191567215008,avoid
WM,2024-04-01,208.8497120779413,209.7436211239684,208.1129768180345,209.1444091796875,1205700,0.0389958257444842,0.1994471503336998,0.3892404492359449,0.3783580946592386,0.31190438527566733,avoid
DLR,2024-04-01,138.69415866402773,139.2430724788779,135.94954550621495,136.6621856689453,1535700,-0.0251128632236512,0.0514486236346789,0.2182578448967467,0.5964713718072843,0.3118443405965084,avoid
NWSA,2024-04-01,25.99387367829133,26.01372246724273,25.45791662223377,25.616718292236328,2248700,-0.0361667007427534,0.0518814452569722,0.2966886235627173,0.5375994991953972,0.31080600572409317,avoid
COST,2024-04-01,726.8294462069794,728.3292815998261,715.3473393529059,716.3803100585938,1600700,-0.0304481976947529,0.0892780793502701,0.3015163875846258,0.513692249429601,0.3107426121478069,avoid
LYV,2024-04-01,105.77999877929688,106.70999908447266,103.93000030517578,104.22000122070312,2028800,0.0746545433404741,0.1081339483141594,0.2453100511458403,0.5190205552188683,0.3102934814281787,avoid
HII,2024-04-01,283.2222809193228,283.2222809193228,278.6825056178234,278.98321533203125,310200,-0.0137848844290539,0.1177447621544227,0.4165692506799492,0.407847626275468,0.31028028970215116,avoid
TRV,2024-04-01,224.8805928802824,225.0665197856653,222.43421766522084,223.2659912109375,801300,0.0372867759114865,0.2105788265444788,0.3748796436729193,0.3730600968802022,0.3075323747540011,avoid
MCK,2024-04-01,533.2786318119076,535.2575216078245,528.1275338457173,533.4973754882812,540600,0.0289213937867931,0.174045658698972,0.216758706141813,0.5102647319700357,0.3068347757490319,avoid
BX,2024-04-01,127.49510589737709,127.68857047632156,126.57613807708988,126.75025177001952,2478100,0.0251133316862484,-0.0082745225293375,0.230553339837163,0.5905645929679493,0.30624826780108594,avoid
ECL,2024-04-01,227.4961085856376,227.67390985689912,224.3844506814351,225.1549530029297,905500,0.0162983740677893,0.1490146272862795,0.3538625773637134,0.4209666161673941,0.3059781825401065,avoid
