Date,Open,High,Low,Close,Volume
2023-08-30,138.6085131694571,138.73378975434437,137.65452903477552,137.93397521972656,2539300
2023-08-31,138.32909914851254,138.5218222212722,134.7347631133385,137.5774688720703,5114500
2023-09-01,139.82270591137663,141.56687369697283,139.43724512483638,140.65142822265625,3027600
2023-09-05,141.29706698053172,142.89668155326746,140.89234415823765,141.67288208007812,3080900
2023-09-06,141.31633918707578,143.19542952418334,140.70926226175607,142.51124572753906,2593800
2023-09-07,143.224316589858,145.53702246586752,142.61722504827972,145.40211486816406,3641400
2023-09-08,146.85722502204112,151.1646528528026,146.2886867777769,149.66139221191406,4432100
2023-09-11,150.26847522193813,152.24391980296355,147.41612374973235,148.46649169921875,3803000
2023-09-12,149.02536931400232,151.0297214205676,147.71483196370298,150.16246032714844,2841200
2023-09-13,150.27808730514096,150.8177177228892,148.3893808430221,149.82518005371094,3177200
2023-09-14,151.43444544294277,151.98372158926156,150.22027696178117,150.50936889648438,3526400
2023-09-15,148.62068055822624,150.1432180277171,147.47395827587474,148.21595764160156,11616600
2023-09-18,149.8637160689173,152.08969863534324,149.45899330264209,150.6538848876953,3003600
2023-09-19,151.91626763019303,151.91626763019303,144.81431904787317,146.61630249023438,4507700
2023-09-20,146.38503237989363,149.05427681201294,146.201940332846,147.1173858642578,2538500
2023-09-21,150.07574402056193,153.69898758819747,147.67629998677907,149.14102172851562,4152000
2023-09-22,150.05644507122457,151.94515138906078,147.6184626676812,147.87864685058594,2809100
2023-09-25,147.10773707522782,149.11208893647915,146.70301430091138,148.5917205810547,2123700
2023-09-26,147.31975714951537,147.43538804275573,144.8528667348763,145.52740478515625,3004800
2023-09-27,146.4910465057356,148.01358377193216,145.72977052072338,146.88612365722656,2709800
2023-09-28,146.36577109576987,150.49973763631684,146.33686336990667,148.81338500976562,2994700
2023-09-29,148.6013823741051,149.0061051922272,144.6119549339571,145.83575439453125,3330900
2023-10-02,145.56593513883772,146.08630353612983,143.00267599144172,144.5637664794922,3986700
2023-10-03,142.97378734464266,143.98560184874555,138.9940051941187,141.91380310058594,3734100
2023-10-04,139.58181297210916,139.66853614417894,134.25294018769114,136.72946166992188,5777700
2023-10-05,135.3032870545523,138.49289988939003,134.84073408411876,137.1052703857422,4003700
2023-10-06,137.65453400041687,140.2466860219011,136.5463508180468,137.97251892089844,3372000
2023-10-09,140.2177825008831,141.72105750730265,138.6374300412553,141.23924255371094,3354000
2023-10-10,140.32380474958825,143.99523292865302,140.32380474958825,143.49415588378906,2946300
2023-10-11,142.2896095199142,143.9181465747125,141.14288746576264,143.1183319091797,2825100
2023-10-12,143.91813553378623,144.21685845865787,140.94050788331472,142.22213745117188,2773900
2023-10-13,143.99522785699114,144.93959587007708,142.71361286062526,142.80996704101562,2568800
2023-10-16,143.9855974671658,146.19231847229307,143.60978234322994,145.26722717285156,2406900
2023-10-17,145.03593976449483,146.95356867534068,144.99740103583733,145.83575439453125,1991400
2023-10-18,145.91286788363126,148.71703500174533,145.84542142266545,148.389404296875,2215700
2023-10-19,148.3315420167828,148.71700279535577,146.60665098212257,147.28118896484375,1906500
2023-10-20,147.1270135832005,148.17738140271624,145.3250302834554,145.3732147216797,2478900
2023-10-23,145.28650985941016,145.48886394008966,142.51125055089585,144.01451110839844,2422700
2023-10-24,144.25541119320718,145.88394828119974,142.95451948724124,143.22433471679688,1759100
2023-10-25,143.7157817833122,144.82395043394692,141.7981527342738,141.9908905029297,2479500
2023-10-26,141.21997288900943,143.02195620018367,138.8687134454814,142.675048828125,2929200
2023-10-27,142.35706305065457,142.87743151136388,139.30235755916252,140.6899871826172,3524200
2023-10-30,141.53795347139285,143.1279368019014,139.25414078641015,141.5186767578125,2949000
2023-10-31,143.0026872922166,146.45248448499132,139.20599741226846,145.74903869628906,4139700
2023-11-01,146.88609780634627,151.9066160279312,145.74902158831983,149.56500244140625,4023200
2023-11-02,149.57466055522053,153.8435347050148,148.33156953149563,150.1046600341797,3828200
2023-11-03,149.79624610214552,149.83479952742027,144.44809789159532,145.2960968017578,3275600
2023-11-06,146.47174391208202,147.08846645619042,143.33031575050262,144.46739196777344,2427500
2023-11-07,142.9063295648669,143.17614478407492,139.47580917451356,140.8441619873047,2843300
2023-11-08,139.9479747590226,140.86342027885289,137.8858072359394,138.28089904785156,2949700
2023-11-09,138.76269817997516,139.7263280284472,136.2765314064583,136.64271545410156,2297300
2023-11-10,138.18454816189524,140.1310850486165,137.35582570151516,139.8516387939453,2377500
2023-11-13,139.79379534036244,141.99087031546028,139.22524252978496,141.4223175048828,2400900
2023-11-14,141.94271116470307,145.60450834342492,141.94271116470307,145.1901397705078,2986400
2023-11-15,145.07871272431325,148.0630359300058,144.66207754323207,145.6600799560547,3226600
2023-11-16,144.2551038438486,145.81509039420996,139.4104269526369,140.592529296875,3494100
2023-11-17,141.70678938248227,145.60191347652875,141.3676561093645,143.30552673339844,3451500
2023-11-20,144.28417772774085,145.95074784201591,143.92566156673362,144.3616943359375,2387100
2023-11-21,143.3152460559031,143.60592964805832,141.56147525576824,143.0439453125,1926800
2023-11-22,140.4956350211538,144.73957686533652,139.58483336648615,144.57485961914062,2422200
2023-11-24,145.13681970739793,146.80338969374432,144.7201846032014,144.8558349609375,1264300
2023-11-27,144.4198268550269,146.01856437910047,143.7512590517587,145.87322998046875,2178700
2023-11-28,146.3092315212653,147.83046705165737,145.17557898497606,145.3306121826172,2465000
2023-11-29,146.60959653384003,147.53008210344842,142.5885209896027,142.84043884277344,2935900
2023-11-30,143.80941170698998,146.91970130941445,142.68544292728407,144.5554962158203,5973500
2023-12-01,144.15819783266193,148.99319047261156,143.8287633673967,146.7161865234375,3124600
2023-12-04,145.34031413612567,147.25880214298374,143.85784411471968,146.6871337890625,3075100
2023-12-05,146.7355905528523,148.26651037599547,144.00318541938893,144.2938690185547,2761200
2023-12-06,143.16987260289793,143.16987260289793,138.64494658936363,138.73214721679688,4039700
2023-12-07,139.14882257473852,140.49564227829086,136.60051757331934,137.181884765625,3606600
2023-12-08,138.17986615038916,139.6720200332837,137.65664758450603,138.57713317871094,3092100
2023-12-11,138.07330932942585,140.2437301810557,137.85045830322971,139.38137817382812,3017800
2023-12-12,138.1023727696324,139.49764222627644,137.05592067714937,138.91627502441406,2930200
2023-12-13,138.76124087118345,142.23971530184258,138.14112282564875,142.10406494140625,3457500
2023-12-14,144.42951361561234,146.20266723632812,142.7435754205046,146.20266723632812,3559800
2023-12-15,141.18357430993802,144.85583272797277,140.0208400789464,143.7706298828125,12266800
2023-12-18,146.24141778133313,148.31495380099358,145.71819915290516,147.09408569335938,3307400
2023-12-19,147.15220852356487,149.061012367253,146.28017261269773,148.99319458007812,2583900
2023-12-20,149.53579573970663,151.42521673294036,148.65406101460414,148.8575439453125,3166100
2023-12-21,148.8769153980757,150.29156755984192,146.68712675922288,147.9176788330078,2064800
2023-12-22,149.07071133886845,149.39044699768158,146.09607268120791,146.1832733154297,2121400
2023-12-26,147.10379498267406,148.38278215698668,145.9895102847141,147.355712890625,1525400
2023-12-27,146.77431717198814,147.20065107555894,144.9042791133375,145.22402954101562,1712700
2023-12-28,144.38105248510035,144.8558361334097,142.30753140876251,142.31723022460938,2372400
2023-12-29,143.3152332637795,145.06900390737516,143.01486566644945,143.75125122070312,2507000
2024-01-02,144.4004273031614,147.67543336477792,144.4004273031614,147.62698364257812,3187400
2024-01-03,147.76263812663933,155.01996908567503,147.64637061793152,152.98519897460938,4674200
2024-01-04,154.86495184590203,157.26790757713792,148.57655557070902,148.6346893310547,4495800
2024-01-05,149.9427387175013,151.13452500504917,146.85183272344656,147.76263427734375,3373700
2024-01-08,145.3402931746065,151.4833393511062,143.84813933665004,151.40582275390625,3108000
2024-01-09,151.1345696405759,151.27991885038097,149.10949779976605,149.51644897460938,2767900
2024-01-10,149.9040060901896,151.0570268265936,147.2200508235028,148.0920867919922,2327400
