Date,Open,High,Low,Close,Volume,ret_1m,ret_3m,ret_6m,ret_12m
2024-03-14,154.6119397821748,155.18833935311736,152.45040840878897,152.94996643066406,6988300,0.025237123178861065,0.03449297585667144,-0.013942990906663844,0.06618015740835492
2024-03-15,151.84517223837204,152.93074599967278,150.92292707770346,151.96044921875,13165500,0.02337882058151708,0.023050397267614153,-0.01882655996289251,0.05633161172222945
2024-03-18,152.33512712814567,152.45040410731704,150.34651128450565,150.59628295898438,6602300,0.00019133344616051318,0.0068860570123530085,-0.01384270368872309,0.0490234478175704
2024-03-19,150.50983702291848,150.69236869346318,149.53955483491467,150.06793212890625,7840600,-0.0021716156723201596,0.014411251501139866,-0.023471782328336466,0.05666234289902006
2024-03-20,149.57795111494497,150.28885996305547,149.10722705097143,149.63558959960938,5982300,-0.01330300351161462,0.009666796669243416,-0.024664267410479224,0.04327966992996157
2024-03-21,149.47227941911794,150.77880551992956,149.0015553433484,149.62599182128906,5915800,-0.018464801915526796,0.0030203467322862387,-0.028977516406118564,0.04321275291493287
2024-03-22,149.5683691231452,150.21202338400474,149.0111726005751,149.12644958496094,7245400,-0.0325333237772768,0.020477736585488016,-0.024736172408573065,0.05927881059990803
2024-03-25,149.28976728756882,149.84696382415424,148.80942696211483,149.11685180664062,7498100,-0.0409044380826572,0.010065490545508649,-0.017750803663477255,0.05864976932915722
2024-03-26,149.4914902416347,150.0871074490594,148.67490596921883,149.64520263671875,6864100,-0.031220945463511396,0.009601830453484173,-0.012794223297604046,0.051822187139370035
2024-03-27,149.85657302350162,151.9988866706455,149.3281957583793,151.74911499023438,8461600,-0.0187600282027941,0.019337632407151695,0.008891405671119124,0.06208744781957143
2024-03-28,151.97966378441765,152.88270586885076,151.89320605092655,151.97006225585938,6181500,-0.02079843854893282,0.01945045436869841,0.022643530100929343,0.07400263812180907
2024-04-01,151.51853338898246,151.9316189779891,150.60588982312146,151.576171875,4364700,-0.022307599866894345,0.015314609980110028,0.021488313092150158,0.060807917410361956
2024-04-02,150.41377406983958,151.62422639285705,149.81814210809367,151.5281524658203,6102300,-0.027078637385801962,0.01395691197043214,0.0285732840736459,0.0596425179342317
2024-04-03,151.58576572390686,151.8355520290909,148.1849632917599,148.19456481933594,8098200,-0.0349099985372725,-0.028372648472345552,0.009835207505826116,0.02583342742715322
2024-04-04,149.20329418539023,149.38582583568137,146.41732644812492,146.5037841796875,6947400,-0.04669635681717399,-0.04542536970947397,-0.002907282558475166,0.0021680494579563447
2024-04-05,146.05228668341465,146.99374967161634,145.64880254561393,146.39813232421875,6778100,-0.043617208763394255,-0.04409468917914383,-0.004779561067069116,-0.008917251930728343
2024-04-08,146.01384339671006,147.02254625630624,145.60074313387392,145.6295623779297,5935400,-0.04582356435071422,-0.05206380188804993,-0.020210462212419733,-0.0565057796562467
2024-04-09,145.5911382552564,146.5326010766657,145.00512254157042,146.30203247070312,6135600,-0.045323498530604356,-0.05004468868468237,-0.018808126207551457,-0.04950885103091762
2024-04-10,145.571926899271,145.85053247599922,143.87151817071708,144.29421997070312,6809500,-0.06841153572021408,-0.06366135520022564,-0.03776729870449935,-0.05781808555399226
2024-04-11,144.87062876160653,144.9378687770039,142.55538513573123,142.9396514892578,8374400,-0.08571962021375423,-0.07382640379269045,-0.04571683652913561,-0.06637877740048326
2024-04-12,142.23836555999387,143.20866233583487,141.36414270651298,141.7196044921875,7097500,-0.08429533695103486,-0.07762903803249743,-0.04065554588746845,-0.07237100142134623
2024-04-15,142.5361796906441,143.6121519590228,141.57549906530562,141.78684997558594,8502300,-0.07298541291369709,-0.08423787924898407,-0.04112125171583203,-0.08416666609173351
2024-04-16,139.30827291976266,140.499522007463,137.75197521296425,138.77029418945312,12774900,-0.0867999212762881,-0.09327960411758707,-0.0646330830951235,-0.10219185054830326
2024-04-17,139.29868069501322,139.6925632413026,137.89608063261625,139.07772827148438,9378100,-0.07648631467641953,-0.09076092551552084,-0.06660753042850287,-0.09927957964394729
2024-04-18,139.27947113098912,140.06723626967323,137.50222079270853,140.0095977783203,9887700,-0.06702520790348443,-0.08909762612819572,-0.05168463821487046,-0.06700082718200395
2024-04-19,140.40346158813676,142.30561970016456,138.8567652604415,142.09426879882812,9747700,-0.05039790881941986,-0.07822217242172558,-0.016391485967326425,-0.06196461524824126
2024-04-22,142.6706676096576,144.36147481152358,141.50825231719708,143.25668334960938,10118700,-0.04256819549966351,-0.07520015476914943,-0.005675878849344507,-0.060361260398011374
2024-04-23,143.96757413481916,144.572807514655,142.37284105517514,143.6793670654297,10110400,-0.036526602320991475,-0.05703304280076926,-0.007174133180489872,-0.05243331831906173
2024-04-24,142.31521554438473,143.13179987227912,141.08554561781045,142.68988037109375,9756300,-0.0431002355379706,-0.05851957408019315,-0.003525846904419816,-0.06465059893895386
2024-04-25,143.4968582313812,143.69860760965355,140.5763956226604,141.04713439941406,7642700,-0.057456357342624,-0.07285782174674538,-0.013955951760601493,-0.08381521338146092
2024-04-26,140.93182332728173,141.39294585269835,140.21131296808414,140.3938446044922,6183000,-0.07482923631200711,-0.07680502540859135,-0.020724658458756817,-0.0737027803259781
2024-04-29,140.3938639610861,141.43140078043794,140.24976773290786,141.04713439941406,6149600,-0.07187552399666253,-0.07169451416249428,0.0008017314367503303,-0.07156192767763747
2024-04-30,141.10476713429784,141.10476713429784,138.84716192611913,138.90480041503906,8817700,-0.08359738409550688,-0.08239699997006256,0.008616143149964062,-0.08957353517416211
2024-05-01,142.89163888615957,145.87935616287106,141.81566663738786,145.23568725585938,14470900,-0.04152670713371431,-0.04136018525456786,0.04432900727385847,-0.04749712167616771
2024-05-02,146.06187627830224,146.34048186945293,143.27590831973376,144.02523803710938,8459800,-0.02813414100111833,-0.046108253968157764,0.02647969386259219,-0.06362025364928003
2024-05-03,143.99640459351878,143.99640459351878,142.0078035115738,143.40078735351562,6532700,-0.021180318607784465,-0.039631062895339575,0.019623538698908094,-0.05531570214770387
2024-05-06,143.9771864740323,144.15011659218015,142.09426084242313,142.7379150390625,5042800,-0.025001803144934942,-0.03910069129077165,0.004439540493707428,-0.05539075151618089
2024-05-07,143.50647398435737,143.84270340202886,142.61303339589065,142.87242126464844,7333500,-0.018932564709121857,-0.05194739709671714,-0.0019214794347017783,-0.05769709961153713
2024-05-08,143.25668246875452,143.842698205103,142.85319838683262,143.09336853027344,7735100,-0.02193177966322657,-0.050000511582065976,-0.0027502148372718915,-0.05408855617424291
2024-05-09,143.12219047079367,144.19816270167587,143.03573273564368,143.95799255371094,6546200,-0.0023301516655376275,-0.03460507440538163,0.008594470110127927,-0.0409276654212376
2024-05-10,144.10206746357218,144.18852518593346,143.32391864468016,144.01560974121094,5710600,0.007527360258283489,-0.03643665797253082,0.012689130676200255,-0.04410510481039154
2024-05-13,144.14048311487144,146.02342317943436,143.82347147746702,145.2740936279297,5628500,0.025081139257188134,-0.034728230095359414,0.04184183108512629,-0.031798953238227234
2024-05-14,145.87934695762962,146.22519254097872,144.77455553304304,145.42782592773438,8254200,0.025679221682231912,-0.025184448458860476,0.0441485224227578,-0.029508536590829748
2024-05-15,145.85054449402924,146.93610366927328,145.35098644753486,146.6671142578125,5548000,0.0569056952317073,-0.012269184653510345,0.050335705045066126,-0.013692692678004437
2024-05-16,146.98412098870782,148.3098648100171,146.34046679310998,148.2137908935547,7591000,0.06569033543772318,-0.0156320844299368,0.06119632298966149,-0.001977993524847954
2024-05-17,148.7709975100255,148.7709975100255,147.6662206894384,148.5596466064453,6521800,0.06106759082089819,-0.012200474500662306,0.05552370579698618,0.0025529251598126468
2024-05-20,148.2690995154789,148.54994237430526,146.4871475124641,146.49684143066406,7742300,0.030983463788176735,-0.03399990723163604,0.03185251095524544,-0.008186414508502105
2024-05-21,146.99075838444656,147.77519741715716,146.0319913570693,146.46780395507812,5492400,0.02241515390686666,-0.03918227563193677,0.03378289309303195,-0.011066083198326915
2024-05-22,146.08040866540617,149.21817940268028,145.5768273244961,148.65647888183594,6609800,0.034640407443747634,-0.035582286555776776,0.04006219651044063,0.009150078060778055
2024-05-23,147.9301585487087,148.0173151610358,144.66649955038517,144.9763946533203,8000400,0.01602436189784462,-0.06753519129362051,0.006193255059044667,-0.015455441232381517
2024-05-24,144.81175462091997,145.08291836634032,142.12915459231587,142.33253479003906,9517000,0.009113268384347561,-0.07856198492097954,-0.01019137626820521,-0.032484698571002224
2024-05-28,142.15819308141397,142.15819308141397,139.6014960302948,139.82424926757812,10499800,-0.004057124715963756,-0.09586858271487608,-0.038346314341361376,-0.03568509077071769
2024-05-29,139.28193808628524,140.83144312331007,139.17540841433282,139.8823699951172,8263800,-0.00825797992462951,-0.09868408892216851,-0.030188228939251216,-0.034909089760636225
2024-05-30,140.05668378210896,141.0154508335549,139.47562493237015,140.69586181640625,8491100,0.012894164895781879,-0.09248747262520218,-0.026799869672061827,-0.029422445638295436
2024-05-31,140.97672545468825,142.82644653189348,140.60871115682275,142.04200744628906,14621200,-0.021989635398247942,-0.087986613812427,-0.02058886935556048,-0.024496302065343922
2024-06-03,142.6036726955785,144.20160267563935,142.1388227558484,143.07821655273438,7329200,-0.006575385656581889,-0.06822928094225089,-0.029710088764471565,-0.014073631138569964
2024-06-04,142.82642743354972,143.63023947401015,141.57713846006754,143.13633728027344,8876400,-0.0018441326447550255,-0.06860841468933665,-0.05211516751863221,-0.028942143765807837
2024-06-05,143.30098232429992,143.3203553855332,141.24788115305265,141.3640899658203,5891300,-0.009624808326969214,-0.0765033624696867,-0.0667974874828432,-0.049143047751007085
2024-06-06,140.90891231260906,142.36158151170812,140.09542110766924,141.7998809814453,5016300,-0.007506979119618951,-0.07091594041023075,-0.0619723277205082,-0.0453676999702608
2024-06-07,142.0516843013067,143.62057722456805,141.72241613342237,142.43907165527344,5111600,-0.004572517103485274,-0.07053078960037318,-0.04613278544144972,-0.043121260401377315
2024-06-10,141.90641418790443,142.90391254732288,141.00576635510188,142.48748779296875,5751300,-0.010214818466529718,-0.08007611144031002,-0.03831741850544279,-0.05318869459001907
2024-06-11,142.1775756531576,142.5165377135704,140.85080916819365,142.129150390625,5661200,-0.01309899221324562,-0.09090380280098309,-0.034648123328564595,-0.05409435338186053
2024-06-12,142.4196923654132,142.56496815829175,140.2116362649662,140.82176208496094,6180500,-0.030647801213421366,-0.09009664074331147,-0.047475756232762456,-0.06215058258803652
2024-06-13,140.49248940492762,141.39313722702948,139.34003612754233,140.86048889160156,6840400,-0.03140621134226684,-0.07904204114057756,-0.04727546050063014,-0.06679516543517239
2024-06-14,140.5602745431085,141.3640866261658,139.92109653335464,140.94764709472656,4075300,-0.038996248013935975,-0.07247150281959414,-0.051091602482552734,-0.07095697372278709
2024-06-17,140.44406348581833,141.8095613136776,140.17289974856152,141.34471130371094,6666600,-0.046345751960268244,-0.06143293495360136,-0.054969908633775155,-0.08068754162039427
2024-06-18,141.35439940542935,141.77082413575255,140.6764753128706,141.05416870117188,6156600,-0.05052164619882593,-0.06006455409801792,-0.04651890799228853,-0.08537027949056886
2024-06-20,140.68616430950297,143.40749539376566,140.43435887456826,143.11695861816406,8749700,-0.023071369863627234,-0.043563372850587756,-0.03431769444891741,-0.07142943416011871
2024-06-21,143.22348650946054,144.37593967949488,142.71989042311907,144.0563507080078,15176900,-0.01646404999565576,-0.03722375401149247,-0.03431583592299836,-0.06390858012684053
2024-06-24,144.29846405220732,144.9957464029669,143.4946520429341,144.4146728515625,6914700,-0.028534282946693246,-0.03159584866743592,-0.01176512354815451,-0.0714389852462134
2024-06-25,144.47277620575662,144.49214926461372,142.30346648781563,142.5455780029297,6620300,-0.016766982350495008,-0.04406794888770782,-0.03444602386508844,-0.08268168306642809
2024-06-26,141.5868244553984,142.5455914656339,141.18007884486943,142.18727111816406,5267800,-0.0010205935845186698,-0.049837424702879995,-0.04071412475163105,-0.07464242683517452
2024-06-27,142.16787839100013,142.7102057966838,140.2697176937938,141.19943237304688,5739200,0.009835083060858008,-0.06952055448802064,-0.05152728500829973,-0.07915765674771202
2024-06-28,141.4318721141918,142.42938526406556,141.05417869911955,141.548095703125,10495700,0.01190804608233309,-0.06857907668148333,-0.05046251651442568,-0.07501472757868233
2024-07-01,141.46095450926717,144.00795816442576,141.02514186358036,141.81927490234375,5144400,0.007984691741704797,-0.06436959617044857,-0.050040781450266025,-0.07968077112091032
2024-07-02,141.80955269766503,142.5068350589075,141.14133731401267,141.42218017578125,5492000,-0.004363689880560129,-0.06669369437681638,-0.0536676204277845,-0.09013109797610552
2024-07-03,141.58682825629558,142.02262608089595,140.17290511183077,141.09292602539062,3246200,-0.013875561040502804,-0.047921047594444044,-0.07493404902896583,-0.08019054580382834
2024-07-05,141.1703979660888,141.925784773107,139.9404672306349,141.8579864501953,4888500,-0.008931001410040329,-0.03171111077782196,-0.07569599155631523,-0.072135608972558
2024-07-08,141.78051030982363,142.57464324515513,140.66680314934368,140.88954162597656,5260200,-0.0033569228221854708,-0.03762746567041342,-0.08006298344622154,-0.07156996183450193
2024-07-09,141.07354329939938,142.48748112431292,140.5989993848958,142.41000366210938,5890400,0.004302702346724141,-0.022107865073885846,-0.07302064745456127,-0.047702026991521373
2024-07-10,142.61337835943905,144.75365090743924,142.0516778048629,144.71490478515625,6093200,0.01597759030184287,-0.010848295534545582,-0.060350084646442204,-0.03386630080586894
2024-07-11,144.86018583688417,145.8286320466957,143.94984403529074,144.9763946533203,6350400,0.01746754679237439,0.004727664647660168,-0.05923466009096767,-0.026751403276820573
2024-07-12,145.26691986672282,146.11915719201514,144.53090612589824,145.1507110595703,5336400,0.02125926075432738,0.015468483008570066,-0.05949990325677157,-0.022190825288225913
2024-07-15,145.3443902127108,145.50902427388607,144.1725639478212,144.53089904785156,6711400,0.02633923129475413,0.019837019484619356,-0.05933194728790103,-0.03084175567862424
2024-07-16,144.96669972005577,146.31283921396823,144.45342446695128,146.2450408935547,6469600,0.03822613455570756,0.03144290827207463,-0.0554436548871694,-0.025849708308291808
2024-07-17,146.76801461189922,152.52058701413986,146.64211188569652,151.63929748535156,13801400,0.07585547265957171,0.0927360093243681,-0.009193973030440783,0.015161898979171973
2024-07-18,150.690227650332,152.11384468056949,149.74113977862996,150.51589965820312,10166200,0.06488526008437501,0.08224301280210056,-0.015982364672523786,0.007704731636902995
2024-07-19,151.57150909794112,151.57150909794112,149.25692327629028,149.80894470214844,7398000,0.062066765424876325,0.06999053692978685,-0.02534307989029072,0.004993501446448834
2024-07-22,149.88641370137893,150.21568184346876,148.7436395683463,149.37313842773438,6840600,0.043713756007502935,0.05122563837681171,-0.03100351476243779,-0.05530015465591909
2024-07-23,148.47247037362817,148.65647749842003,146.78738360409176,147.5427703857422,6261900,0.0242017770171139,0.029918932477815963,-0.04753113064419312,-0.07680019828621065
2024-07-24,147.93982048314243,151.4746576041847,147.52339575447238,151.3487548828125,7168200,0.048015079730694854,0.05337849110854087,-0.006698889460262314,-0.05791212269985502
2024-07-25,151.54245910921028,155.51309448915606,151.07760906512007,154.60275268554688,10019600,0.08458469811227243,0.0834878569066797,0.0200826089994397,-0.04497000180693267
2024-07-26,154.7092658056558,156.4815239571768,154.4381020775087,155.57118225097656,8356900,0.09412875729002401,0.10297300908243656,0.02261279819523687,-0.040823850871653966
